GENESIS-Tabelle: 036-02-5-B
Gebäude mit Wohnraum nach Anzahl der Wohnungen;;;;;;;
- Stichtag 09.05.2011;;;;;;;
regionale Ebenen;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;
Stichtag: 09.05.2011;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum
;;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen
;;Insgesamt;1 Wohnung;2 Wohnungen;3 - 6 Wohnungen;7 - 12 Wohnungen;13 und mehr Wohnungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01057023;Großbarkau;60;43;14;3;-;-
01057024;Großharrie;180;150;20;10;-;-
01057025;Heikendorf;2547;1976;292;223;46;10
01057026;Helmstorf;113;76;27;10;-;-
01057027;Högsdorf;161;125;36;-;-;-
01057028;Höhndorf;139;113;16;10;-;-
01057029;Hohenfelde;662;567;83;12;-;-
01057030;Hohwacht (Ostsee);487;347;84;44;9;3
01057031;Honigsee;126;75;32;19;-;-
01057032;Kalübbe;198;156;33;9;-;-
01057033;Kirchbarkau;267;223;35;6;3;-
01057034;Kirchnüchel;76;69;4;3;-;-
01057035;Klamp;245;189;35;17;4;-
01057037;Klein Barkau;104;68;33;3;-;-
01057038;Kletkamp;65;40;22;3;-;-
01057039;Köhn;313;273;36;4;-;-
01057040;Krokau;136;86;31;15;4;-
01057041;Krummbek;134;89;30;12;3;-
01057042;Kühren;207;141;54;12;-;-
01057043;Laboe;1491;1057;200;175;37;22
01057044;Lammershagen;119;103;13;3;-;-
01057045;Lebrade;208;177;22;9;-;-
01057046;Lehmkuhlen;470;378;63;29;-;-
01057047;Löptin;105;69;21;15;-;-
01057048;Lütjenburg;1460;1029;155;218;46;12
01057049;Lutterbek;145;104;38;3;-;-
01057050;Martensrade;309;239;54;16;-;-
01057051;Mönkeberg;1162;967;100;66;22;7
01057052;Mucheln;216;175;34;7;-;-
01057053;Nehmten;156;128;25;3;-;-
01057054;Nettelsee;140;108;23;6;3;-
01057055;Panker;555;484;39;29;3;-
01057056;Passade;119;103;13;3;-;-
01057057;Plön;2295;1575;255;345;111;9
01057058;Pohnsdorf;133;111;10;12;-;-
01057059;Postfeld;160;141;16;-;3;-
01057060;Prasdorf;132;98;24;10;-;-
01057062;Preetz;4405;3471;404;351;136;43
01057063;Probsteierhagen;656;513;87;47;3;6
01057065;Rantzau;132;105;17;10;-;-
01057066;Rastorf;296;232;61;3;-;-
01057067;Rathjensdorf;166;137;22;7;-;-
01057068;Rendswühren;278;238;31;9;-;-
01057069;Ruhwinkel;310;250;50;10;-;-
01057070;Schellhorn;540;427;73;40;-;-
01057071;Schillsdorf;310;263;47;-;-;-
01057072;Schlesen;166;127;28;11;-;-
01057073;Schönberg (Holstein);1941;1465;215;172;68;21
01057074;Schönkirchen;1892;1557;169;135;24;7
01057076;Schwartbuck;285;256;16;10;3;-
01057077;Selent;430;360;38;20;9;3
01057078;Stakendorf;177;135;28;14;-;-
01057079;Stein;316;223;54;29;7;3
01057080;Stolpe;439;361;46;32;-;-
01057081;Stoltenberg;112;92;20;-;-;-
01057082;Tröndel;144;115;26;3;-;-
01057083;Tasdorf;129;100;23;6;-;-
01057084;Wahlstorf;195;151;37;7;-;-
01057085;Wankendorf;889;710;97;69;6;7
01057086;Warnau;126;110;13;-;3;-
01057087;Wendtorf;349;283;39;24;-;3
01057088;Wisch;387;365;16;6;-;-
01057089;Wittmoldt;80;54;18;8;-;-
01057090;Fargau-Pratjau;272;221;38;13;-;-
01057091;Schwentinental;4014;3332;362;213;87;20
01058001;Achterwehr;333;301;29;3;-;-
01058003;Alt Duvenstedt;635;522;79;34;-;-
01058004;Altenhof;115;82;21;12;-;-
01058005;Altenholz;2845;2474;198;55;73;45
01058007;Arpsdorf;101;88;13;-;-;-
01058008;Ascheffel;332;274;45;13;-;-
01058009;Aukrug;1235;1024;154;57;-;-
01058010;Bargstall;53;49;4;-;-;-
01058011;Bargstedt;267;222;42;3;-;-
01058012;Barkelsby;542;465;59;15;3;-
01058013;Beldorf;116;106;7;3;-;-
01058014;Bendorf;177;148;29;-;-;-
01058015;Beringstedt;288;246;39;3;-;-
01058016;Bissee;52;46;3;3;-;-
01058018;Blumenthal;241;173;43;25;-;-
01058019;Böhnhusen;98;69;22;7;-;-
01058021;Bokel;239;221;15;3;-;-
01058022;Bordesholm;2357;1952;208;145;30;22
01058023;Borgdorf-Seedorf;137;97;22;18;-;-
01058024;Borgstedt;489;401;71;17;-;-
01058025;Bornholt;77;60;10;7;-;-
01058026;Bovenau;384;343;32;6;3;-
01058027;Brammer;151;136;15;-;-;-
01058028;Bredenbek;495;425;55;15;-;-
01058029;Breiholz;488;389;74;25;-;-
01058030;Brekendorf;430;367;40;23;-;-
01058031;Brinjahe;60;57;3;-;-;-
01058032;Brodersby;440;354;58;22;6;-
01058033;Brügge;369;324;29;10;6;-
01058034;Büdelsdorf;2836;2072;311;336;117;-
01058035;Bünsdorf;325;273;43;6;3;-
01058036;Christiansholm;94;77;14;3;-;-
01058037;Dänischenhagen;1343;1185;109;42;4;3
01058038;Dätgen;189;143;31;15;-;-
01058039;Damendorf;146;112;22;12;-;-
01058040;Damp;723;616;66;41;-;-
01058042;Dörphof;256;217;21;12;6;-
01058043;Eckernförde;5603;3896;524;873;276;34
01058044;Ehndorf;202;167;26;9;-;-
01058045;Eisendorf;139;130;-;9;-;-
01058046;Ellerdorf;192;162;14;16;-;-
01058047;Elsdorf-Westermühlen;580;474;78;25;3;-
01058048;Embühren;87;78;9;-;-;-
01058049;Emkendorf;550;448;80;19;3;-
01058050;Felde;796;692;73;25;6;-
01058051;Felm;383;321;53;9;-;-
01058052;Fleckeby;731;605;88;38;-;-
01058053;Flintbek;2208;1825;196;138;40;9
01058054;Fockbek;2189;1795;310;78;-;6
01058055;Friedrichsgraben;25;25;-;-;-;-
01058056;Friedrichsholm;131;113;15;3;-;-
01058057;Gammelby;192;152;25;12;3;-
01058058;Gettorf;2267;1914;190;130;17;16
01058059;Gnutz;460;389;59;12;-;-
01058061;Gokels;235;206;29;-;-;-
01058062;Grauel;96;89;0;3;4;-
01058063;Grevenkrug;57;45;3;9;-;-
01058064;Groß Buchwald;124;102;10;9;3;-
01058065;Groß Vollstedt;328;255;54;19;-;-
01058066;Groß Wittensee;414;331;52;28;3;-
01058067;Güby;165;125;25;9;6;-
01058068;Haale;188;153;31;4;-;-
01058069;Haby;191;152;26;13;-;-
01058070;Hamdorf;482;385;82;15;-;-
01058071;Hamweddel;164;134;20;10;-;-
01058072;Hanerau-Hademarschen;1105;947;103;55;-;-
01058073;Haßmoor;98;72;16;10;-;-
01058074;Heinkenborstel;53;50;3;-;-;-
01058075;Hörsten;20;13;7;-;-;-
01058076;Hoffeld;44;38;3;3;-;-
01058077;Hohenwestedt;1617;1272;166;152;24;3
01058078;Hohn;842;690;120;29;3;-
01058080;Holtsee;467;393;49;25;-;-
01058081;Holzbunge;127;101;17;9;-;-
01058082;Holzdorf;362;272;67;23;-;-
01058083;Hütten;65;59;3;3;-;-
01058084;Hummelfeld;104;75;20;9;-;-
01058085;Jahrsdorf;100;77;20;3;-;-
01058086;Jevenstedt;1063;847;162;54;-;-
01058087;Karby;226;176;44;6;-;-
01058088;Klein Wittensee;66;47;6;13;-;-
01058089;Königshügel;66;56;10;-;-;-
01058090;Kosel;679;568;72;36;3;-
01058091;Krogaspe;155;143;6;6;-;-
01058092;Kronshagen;3080;2450;206;303;80;41
01058093;Krummwisch;226;167;41;18;-;-
01058094;Langwedel;681;606;59;16;-;-
01058096;Lindau;437;355;64;15;3;-
01058097;Lohe-Föhrden;175;129;43;-;3;-
01058098;Loop;80;65;12;3;-;-
01058099;Loose;279;251;15;13;-;-
01058100;Lütjenwestedt;220;194;23;3;-;-
01058101;Luhnstedt;156;130;23;3;-;-
01058102;Goosefeld;267;225;32;10;-;-
01058103;Meezen;169;156;13;-;-;-
01058104;Melsdorf;519;419;70;24;3;3
01058105;Mielkendorf;464;385;63;16;-;-
01058106;Mörel;96;84;6;6;-;-
01058107;Molfsee;1678;1406;185;75;9;3
01058108;Mühbrook;187;148;36;3;-;-
01058109;Negenharrie;110;95;12;3;-;-
01058110;Neudorf-Bornstein;361;293;59;9;-;-
01058111;Neu Duvenstedt;44;38;6;-;-;-
01058112;Neuwittenbek;411;348;44;19;-;-
01058113;Nienborstel;225;197;22;6;-;-
01058115;Nindorf;238;192;33;13;-;-
01058116;Noer;340;272;47;18;3;-
01058117;Nortorf;2007;1463;284;195;50;15
01058118;Nübbel;550;458;86;6;-;-
01058119;Oldenbüttel;94;79;9;6;-;-
01058120;Oldenhütten;64;60;4;-;-;-
01058121;Osdorf;748;601;109;29;6;3
01058122;Ostenfeld (Rendsburg);175;162;13;0;-;-
01058123;Osterby;331;260;58;13;-;-
01058124;Osterrönfeld;1727;1430;213;75;3;6
01058125;Osterstedt;237;201;27;9;-;-
01058126;Ottendorf;272;203;46;23;-;-
01058127;Owschlag;1299;1091;146;62;-;-
01058128;Padenstedt;510;449;46;15;-;-
01058129;Prinzenmoor;62;45;9;8;-;-
01058130;Quarnbek;634;528;89;17;-;-
01058131;Rade b. Hohenwestedt;30;27;3;-;-;-
01058132;Rade b. Rendsburg;73;59;14;-;-;-
01058133;Reesdorf;41;35;3;3;-;-
01058134;Remmels;154;132;22;-;-;-
01058135;Rendsburg;6311;3944;729;1160;423;55
01058136;Rickert;360;311;49;0;-;-
01058137;Rieseby;851;715;86;50;-;-
01058138;Rodenbek;166;148;11;7;-;-
01058139;Rumohr;255;202;41;12;-;-
01058140;Schacht-Audorf;1501;1241;160;72;24;4
01058141;Schierensee;151;118;20;13;-;-
01058142;Schinkel;345;266;61;18;-;-
01058143;Schmalstede;106;87;16;3;-;-
01058144;Schönbek;75;63;9;3;-;-
01058145;Schönhorst;99;81;18;-;-;-
01058146;Schülldorf;232;202;24;6;-;-
01058147;Schülp b. Nortorf;281;238;32;7;4;-
01058148;Schülp b. Rendsburg;380;334;37;9;-;-
01058150;Schwedeneck;1063;886;109;59;6;3
01058151;Seefeld;144;116;25;3;-;-
01058152;Sehestedt;320;255;50;15;-;-
01058153;Sören;59;52;7;-;-;-
01058154;Sophienhamm;131;112;12;7;-;-
01058155;Stafstedt;142;109;23;10;-;-
01058156;Steenfeld;132;120;12;-;-;-
01058157;Strande;522;413;75;25;9;-
01058158;Tackesdorf;32;24;4;4;-;-
01058159;Tappendorf;119;100;16;3;-;-
01058160;Techelsdorf;65;52;13;-;-;-
01058161;Thaden;108;90;18;-;-;-
01058162;Thumby;190;154;24;12;-;-
01058163;Timmaspe;376;308;54;14;-;-
01058164;Todenbüttel;392;314;60;18;-;-
01058165;Tüttendorf;380;321;36;23;-;-
01058166;Waabs;607;497;78;26;3;3
01058167;Wapelfeld;103;83;16;4;-;-
01058168;Warder;372;342;27;3;-;-
01058169;Wasbek;779;659;89;27;4;-
01058170;Wattenbek;913;761;99;38;15;-
01058171;Westensee;505;417;58;30;-;-
01058172;Westerrönfeld;1693;1362;226;96;3;6
01058173;Windeby;397;325;63;9;-;-
01058174;Winnemark;202;169;13;20;-;-
01058175;Ahlefeld-Bistensee;170;143;24;3;-;-
01059001;Alt Bennebek;115;86;22;7;-;-
01059002;Arnis;134;107;10;17;-;-
01059005;Bergenhusen;296;255;34;7;-;-
01059006;Böel;260;215;32;13;-;-
01059008;Böklund;491;391;72;28;-;-
01059009;Börm;257;192;50;15;-;-
01059010;Bollingstedt;549;464;66;19;-;-
01059011;Boren;416;324;63;29;-;-
01059012;Borgwedel;359;308;42;9;-;-
01059014;Brebel;125;91;28;6;-;-
01059016;Brodersby;411;357;38;16;-;-
01059018;Busdorf;735;603;89;43;-;-
01059019;Dannewerk;365;283;65;17;-;-
01059020;Dörpstedt;231;190;31;10;-;-
01059021;Dollrottfeld;101;63;32;6;-;-
01059022;Ekenis;84;67;14;3;-;-
01059023;Ellingstedt;282;242;34;6;-;-
01059024;Erfde;743;638;80;19;6;-
01059026;Fahrdorf;864;744;86;31;-;3
01059032;Geltorf;133;112;18;3;-;-
01059033;Goltoft;77;67;6;4;-;-
01059034;Grödersby;109;82;18;9;-;-
01059035;Groß Rheide;293;231;56;3;3;-
01059037;Havetoft;293;234;47;12;-;-
01059038;Havetoftloit;329;263;56;10;-;-
01059039;Hollingstedt;341;280;40;21;-;-
01059041;Hüsby;259;210;39;10;-;-
01059042;Idstedt;323;259;51;13;-;-
01059043;Jagel;320;275;22;16;7;-
01059044;Jübek;925;767;110;39;9;-
01059045;Kappeln;3115;2398;359;310;27;21
01059047;Kiesby;72;62;7;3;-;-
01059049;Klappholz;160;125;32;3;-;-
01059050;Klein Bennebek;202;162;37;3;-;-
01059051;Klein Rheide;118;96;22;-;-;-
01059053;Kropp;1892;1549;196;125;22;-
01059055;Loit;88;55;27;6;-;-
01059056;Lottorf;88;82;6;-;-;-
01059057;Lürschau;408;347;43;18;-;-
01059058;Meggerdorf;249;195;39;15;-;-
01059060;Mohrkirch;379;304;56;19;-;-
01059062;Neuberend;415;350;39;26;-;-
01059063;Norderbrarup;227;185;38;4;-;-
01059064;Norderstapel;313;257;39;11;6;-
01059065;Nottfeld;37;23;14;-;-;-
01059067;Oersberg;99;86;10;3;-;-
01059068;Rabenkirchen-Faulück;265;223;42;0;-;-
01059069;Rüde;119;100;13;6;-;-
01059070;Rügge;94;73;15;6;-;-
01059071;Satrup;1228;1016;140;69;3;-
01059072;Saustrup;80;59;18;3;-;-
01059073;Schaalby;594;494;72;28;-;-
01059074;Scheggerott;147;111;33;3;-;-
01059075;Schleswig;5941;3941;668;1055;256;21
01059076;Schnarup-Thumby;205;173;26;6;-;-
01059077;Schuby;904;759;112;33;0;-
01059078;Selk;342;323;19;-;-;-
01059079;Silberstedt;794;676;80;35;3;-
01059080;Steinfeld;256;198;51;7;-;-
01059081;Stolk;280;230;37;13;-;-
01059082;Struxdorf;251;213;35;3;-;-
01059083;Süderbrarup;1367;1054;178;129;6;-
01059084;Süderfahrenstedt;177;153;20;4;-;-
01059085;Süderstapel;448;359;51;35;3;-
01059086;Taarstedt;301;240;41;20;-;-
01059087;Tetenhusen;342;276;63;3;-;-
01059088;Tielen;122;116;3;-;3;-
01059090;Tolk;351;285;53;10;3;-
01059092;Treia;573;497;64;12;-;-
01059093;Ülsby;144;118;26;-;-;-
01059094;Ulsnis;359;298;48;13;-;-
01059095;Wagersrott;84;75;3;6;-;-
01059096;Wohlde;201;166;29;6;-;-
01059097;Twedt;176;142;34;-;-;-
01059098;Nübel;439;364;68;7;-;-
01059101;Tastrup;139;111;25;3;-;-
01059102;Ahneby;65;59;3;3;-;-
01059103;Ausacker;183;120;50;13;-;-
01059105;Böxlund;24;21;3;-;-;-
01059106;Dollerup;364;279;53;32;-;-
01059107;Eggebek;719;581;77;58;3;-
01059109;Esgrus;322;250;63;9;-;-
01059112;Gelting;769;597;111;61;-;-
01059113;Glücksburg (Ostsee);1867;1354;233;205;60;15
01059115;Großenwiehe;968;809;128;24;7;-
01059116;Großsolt;597;454;105;35;3;-
01059118;Grundhof;344;278;50;16;-;-
01059120;Harrislee;2790;2241;243;167;101;38
01059121;Hasselberg;344;270;55;19;-;-
01059123;Hörup;208;167;28;13;-;-
01059124;Holt;63;48;15;-;-;-
01059126;Hürup;417;332;55;30;-;-
01059127;Husby;725;586;114;19;6;-
01059128;Janneby;146;119;24;3;-;-
01059129;Jardelund;107;88;16;-;3;-
01059131;Jerrishoe;313;253;47;10;3;-
01059132;Jörl;254;198;48;4;4;-
01059136;Kronsgaard;156;111;26;16;3;-
01059137;Langballig;565;459;74;26;6;-
01059138;Langstedt;334;289;38;7;-;-
01059141;Maasbüll;255;203;43;9;-;-
01059142;Maasholm;448;362;51;29;3;3
01059143;Medelby;325;271;29;25;-;-
01059144;Meyn;217;181;33;3;-;-
01059145;Munkbrarup;385;309;52;24;-;-
01059147;Nieby;93;64;19;10;-;-
01059148;Niesgrau;254;213;34;7;-;-
01059149;Nordhackstedt;158;139;9;10;-;-
01059151;Osterby;105;79;26;-;-;-
01059152;Pommerby;74;43;28;3;-;-
01059153;Quern;513;391;97;22;3;-
01059154;Rabel;218;171;40;7;-;-
01059155;Rabenholz;108;89;16;3;-;-
01059157;Ringsberg;176;129;29;18;-;-
01059158;Schafflund;791;679;65;32;9;6
01059159;Sieverstedt;532;404;98;30;-;-
01059161;Sörup;1418;1123;201;84;6;4
01059162;Sollerup;161;131;20;10;-;-
01059163;Stangheck;104;79;18;7;-;-
01059164;Steinberg;403;310;76;17;-;-
01059165;Steinbergkirche;531;427;60;44;-;-
01059167;Sterup;518;391;104;23;-;-
01059168;Stoltebüll;288;243;32;13;-;-
01059169;Süderhackstedt;105;83;15;7;-;-
01059171;Tarp;1483;1174;144;144;18;3
01059173;Wallsbüll;317;240;61;16;-;-
01059174;Wanderup;771;647;111;10;3;-
01059176;Wees;809;700;86;13;10;-
01059177;Weesby;158;129;26;3;-;-
01059178;Westerholz;324;244;59;18;3;-
01059179;Lindewitt;688;578;83;27;-;-
01059182;Freienwill;522;416;94;12;-;-
01059183;Handewitt;3693;3150;384;150;9;-
01059184;Oeversee;1173;962;168;43;-;-
01059185;Mittelangeln;-;-;-;-;-;-
01059186;Steinbergkirche;-;-;-;-;-;-
01059187;Boren;-;-;-;-;-;-
01060002;Alveslohe;853;690;106;57;0;-
01060003;Armstedt;144;117;21;6;-;-
01060004;Bad Bramstedt;3615;2839;362;302;86;26
01060005;Bad Segeberg;4587;3426;459;464;204;34
01060006;Bahrenhof;69;53;13;3;-;-
01060007;Bark;325;254;50;21;-;-
01060008;Bebensee;232;183;43;6;-;-
01060009;Bimöhlen;281;224;47;10;-;-
01060010;Blunk;206;171;29;6;-;-
01060011;Boostedt;1375;1148;104;108;15;-
01060012;Bornhöved;1127;936;123;50;18;-
01060013;Borstel;47;44;3;-;-;-
01060014;Buchholz b. Wahlstedt;-;x;x;x;x;x
01060015;Bühnsdorf;129;90;26;10;3;-
01060016;Daldorf;212;175;31;6;-;-
01060017;Damsdorf;77;53;14;10;-;-
01060018;Dreggers;13;13;-;-;-;-
01060019;Ellerau;1532;1285;112;68;61;6
01060020;Fahrenkrug;498;390;78;21;6;3
01060021;Föhrden-Barl;90;80;10;-;-;-
01060022;Fredesdorf;121;97;21;3;-;-
01060023;Fuhlendorf;143;123;17;3;-;-
01060024;Geschendorf;179;136;34;9;-;-
01060025;Glasau;288;219;44;19;6;-
01060026;Gönnebek;165;145;10;10;-;-
01060027;Großenaspe;885;729;105;45;3;3
01060028;Groß Kummerfeld;652;552;77;23;-;-
01060029;Groß Niendorf;217;176;35;3;3;-
01060030;Groß Rönnau;204;183;21;-;-;-
01060031;Hagen;171;136;29;3;3;-
01060033;Hardebek;174;153;15;6;-;-
01060034;Hartenholm;597;486;92;16;3;-
01060035;Hasenkrug;125;98;24;3;-;-
01060036;Hasenmoor;233;189;31;13;-;-
01060037;Heidmoor;94;76;6;12;-;-
01060038;Heidmühlen;242;212;21;9;-;-
01060039;Henstedt-Ulzburg;8050;7044;459;310;188;49
01060040;Hitzhusen;436;361;65;10;-;-
01060041;Högersdorf;114;90;18;6;-;-
01060042;Hüttblek;143;115;21;7;-;-
01060043;Itzstedt;759;656;68;28;7;-
01060044;Kaltenkirchen;4523;3650;269;298;261;45
01060045;Kattendorf;301;246;49;6;-;-
01060046;Kayhude;408;361;38;6;3;-
01060047;Kisdorf;1198;974;166;54;4;-
01060048;Klein Gladebrügge;189;160;17;12;-;-
01060049;Klein Rönnau;525;431;70;21;3;-
01060050;Krems II;140;111;23;6;-;-
01060051;Kükels;155;123;23;9;-;-
01060052;Latendorf;215;187;22;6;-;-
01060053;Leezen;571;459;75;28;9;-
01060054;Lentföhrden;702;556;103;31;12;-
01060056;Mönkloh;90;80;7;3;-;-
01060057;Mözen;140;106;20;10;4;-
01060058;Nahe;798;655;101;39;3;-
01060059;Negernbötel;342;285;26;31;-;-
01060060;Nehms;221;193;25;3;-;-
01060061;Neuengörs;260;218;36;6;-;-
01060062;Neversdorf;264;201;42;21;-;-
01060063;Norderstedt;17535;13752;1224;1379;954;226
01060064;Nützen;357;273;52;32;-;-
01060065;Oering;442;354;63;25;-;-
01060066;Oersdorf;325;283;27;11;4;-
01060067;Pronstorf;515;398;84;33;-;-
01060068;Rickling;799;620;112;58;6;3
01060069;Rohlstorf;403;342;52;9;-;-
01060070;Schackendorf;256;224;22;10;-;-
01060071;Schieren;99;73;12;14;-;-
01060072;Schmalensee;198;159;19;20;-;-
01060073;Schmalfeld;608;498;82;25;3;-
01060074;Schwissel;99;90;6;3;-;-
01060075;Seedorf;775;647;97;31;-;-
01060076;Seth;640;514;102;24;-;-
01060077;Sievershütten;387;322;56;6;3;-
01060079;Stipsdorf;63;48;9;3;3;-
01060080;Stocksee;184;152;22;10;-;-
01060081;Strukdorf;85;70;9;6;-;-
01060082;Struvenhütten;331;272;41;18;-;-
01060084;Stuvenborn;290;235;39;16;-;-
01060085;Sülfeld;1034;845;125;38;17;9
01060086;Tarbek;55;52;3;-;-;-
01060087;Tensfeld;230;196;22;12;-;-
01060088;Todesfelde;312;237;50;22;3;-
01060089;Trappenkamp;1227;968;98;94;47;20
01060090;Travenhorst;86;74;12;-;-;-
01060091;Traventhal;165;140;21;4;-;-
01060092;Wahlstedt;2528;1995;271;172;83;7
01060093;Wakendorf I;145;106;26;10;3;-
01060094;Wakendorf II;438;346;65;24;3;-
01060095;Weddelbrook;322;265;48;9;-;-
01060096;Weede;348;290;42;16;-;-
01060097;Wensin;298;235;39;21;3;-
01060098;Westerrade;157;132;15;10;-;-
01060099;Wiemersdorf;512;422;69;21;-;-
01060100;Winsen;147;132;9;6;-;-
01060101;Wittenborn;300;255;30;12;3;-
01061001;Aasbüttel;37;33;4;-;-;-
01061002;Aebtissinwisch;22;18;4;-;-;-
01061003;Agethorst;61;58;3;-;-;-
01061004;Altenmoor;82;62;13;7;-;-
01061005;Auufer;44;38;3;3;-;-
01061006;Bahrenfleth;205;172;33;-;-;-
01061007;Beidenfleth;355;307;34;14;-;-
01061008;Bekdorf;35;29;6;-;-;-
01061010;Bekmünde;55;46;6;3;-;-
01061011;Besdorf;90;78;6;6;-;-
01061012;Blomesche Wildnis;255;220;29;6;-;-
01061013;Bokelrehm;55;45;7;3;-;-
01061014;Bokhorst;59;40;19;-;-;-
01061015;Borsfleth;304;289;12;3;-;-
01061016;Breitenberg;122;106;16;-;-;-
01061017;Breitenburg;339;270;45;24;-;-
01061018;Brokdorf;395;347;25;23;-;-
01061019;Brokstedt;728;618;71;33;6;-
01061020;Büttel;15;15;-;-;-;-
01061021;Christinenthal;27;18;6;3;-;-
01061022;Dägeling;366;314;42;7;3;-
01061023;Dammfleth;123;104;12;7;-;-
01061024;Drage;90;78;12;-;-;-
01061025;Ecklak;145;135;10;-;-;-
01061026;Elskop;67;64;3;-;-;-
01061027;Engelbrechtsche Wildnis;254;211;40;3;-;-
01061028;Fitzbek;160;137;23;-;-;-
01061029;Glückstadt;3230;2403;291;439;81;16
01061030;Grevenkop;113;100;10;3;-;-
01061031;Gribbohm;150;129;21;-;-;-
01061033;Hadenfeld;46;42;-;4;-;-
01061034;Heiligenstedten;553;428;80;38;4;3
01061035;Heiligenstedtenerkamp;275;229;31;15;-;-
01061036;Hennstedt;254;217;33;-;4;-
01061037;Herzhorn;394;351;31;12;-;-
01061038;Hingstheide;30;27;-;3;-;-
01061039;Hodorf;87;71;16;-;-;-
01061040;Hohenaspe;699;560;93;40;6;-
01061041;Hohenfelde;343;288;43;9;3;-
01061042;Hohenlockstedt;1897;1508;203;159;19;8
01061043;Holstenniendorf;174;137;33;4;-;-
01061044;Horst (Holstein);1731;1453;213;50;12;3
01061045;Huje;102;85;14;3;-;-
01061046;Itzehoe;8305;5690;865;1419;286;45
01061047;Kaaks;156;136;20;-;-;-
01061048;Kaisborstel;22;19;3;-;-;-
01061049;Kellinghusen;2508;1936;296;228;44;4
01061050;Kiebitzreihe;784;649;102;30;3;-
01061052;Kleve, b. Itzehoe;224;212;12;-;-;-
01061053;Kollmoor;7;7;-;-;-;-
01061054;Krempdorf;94;76;9;9;-;-
01061055;Krempe;844;685;121;29;6;3
01061056;Kremperheide;924;826;65;30;3;-
01061057;Krempermoor;200;186;11;3;-;-
01061058;Kronsmoor;62;46;16;-;-;-
01061059;Krummendiek;27;21;3;3;-;-
01061060;Kudensee;75;66;6;3;-;-
01061061;Lägerdorf;741;520;83;121;17;-
01061062;Landrecht;50;41;9;-;-;-
01061063;Landscheide;96;89;7;-;-;-
01061064;Lockstedt;64;58;6;-;-;-
01061065;Lohbarbek;242;213;23;6;-;-
01061066;Looft;149;126;23;-;-;-
01061067;Mehlbek;165;150;11;4;-;-
01061068;Moordiek;53;43;10;-;-;-
01061070;Moorhusen;30;30;-;-;-;-
01061071;Mühlenbarbek;131;120;4;7;-;-
01061072;Münsterdorf;703;592;61;43;7;-
01061073;Neuenbrook;219;161;31;24;3;-
01061074;Neuendorf b. Elmshorn;318;273;41;4;-;-
01061076;Nienbüttel;54;51;3;-;-;-
01061077;Nortorf;313;294;19;0;-;-
01061078;Nutteln;106;93;10;3;-;-
01061079;Oelixdorf;505;423;52;21;6;3
01061080;Oeschebüttel;79;73;6;-;-;-
01061081;Oldenborstel;46;34;6;6;-;-
01061082;Oldendorf;422;360;48;7;7;-
01061083;Ottenbüttel;253;226;24;3;-;-
01061084;Peissen;108;84;18;6;-;-
01061085;Pöschendorf;83;77;3;3;-;-
01061086;Poyenberg;149;130;19;-;-;-
01061087;Puls;201;168;27;6;-;-
01061088;Quarnstedt;147;123;18;6;-;-
01061089;Rade;47;47;-;-;-;-
01061091;Reher;277;254;16;3;4;-
01061092;Rethwisch;217;193;18;6;-;-
01061093;Rosdorf;136;124;6;6;-;-
01061095;Sankt Margarethen;327;271;25;28;3;-
01061096;Sarlhusen;157;117;24;16;-;-
01061097;Schenefeld;786;688;64;22;12;-
01061098;Schlotfeld;99;81;12;6;-;-
01061099;Siezbüttel;21;21;-;-;-;-
01061100;Silzen;52;45;4;3;-;-
01061101;Sommerland;305;265;30;10;-;-
01061102;Stördorf;55;48;7;-;-;-
01061103;Störkathen;26;16;6;4;-;-
01061104;Süderau;266;232;21;13;-;-
01061105;Vaale;450;392;37;21;-;-
01061106;Vaalermoor;55;52;3;-;-;-
01061107;Wacken;620;536;42;33;6;3
01061108;Warringholz;131;108;23;-;-;-
01061109;Westermoor;147;130;14;3;-;-
01061110;Wewelsfleth;587;536;34;17;-;-
01061111;Wiedenborstel;3;3;-;-;-;-
01061112;Willenscharen;49;43;-;6;-;-
01061113;Wilster;1409;1067;177;134;31;-
01061114;Winseldorf;124;107;13;4;-;-
01061115;Wittenbergen;64;48;13;3;-;-
01061116;Wrist;750;601;82;67;-;-
01061117;Wulfsmoor;133;127;6;-;-;-
01061118;Kollmar;667;574;65;28;-;-
01061119;Neuendorf-Sachsenbande;192;179;13;-;-;-
01062001;Ahrensburg;7823;5948;752;725;306;92
01062003;Badendorf;259;207;25;21;6;-
01062004;Bad Oldesloe;5850;4500;551;474;259;66
01062005;Bargfeld-Stegen;802;660;79;47;16;-
01062006;Bargteheide;4109;3401;317;210;156;25
01062008;Barnitz;281;238;31;12;-;-
01062009;Barsbüttel;3618;3029;305;167;101;16
01062011;Braak;285;254;22;9;-;-
01062014;Delingsdorf;690;588;72;26;4;-
